time,open,high,low,close,Account Equity,Daily High,Daily Low
2024-02-03T12:00:00+01:00,43049,43049,43020,43021,1000000,43451,42538
2024-02-03T12:15:00+01:00,43021,43021,42969,42978,1000000,43451,42538
2024-02-03T12:30:00+01:00,42977,42996,42959,42996,1000000,43451,42538
2024-02-03T12:45:00+01:00,43006,43006,42959,42976,1000000,43451,42538
2024-02-03T13:00:00+01:00,42977,43005,42958,43005,1000000,43451,42538
2024-02-03T13:15:00+01:00,42999,43061,42998,43033,1000000,43451,42538
2024-02-03T13:30:00+01:00,43018,43059,43017,43048,1000000,43451,42538
2024-02-03T13:45:00+01:00,43046,43061,43045,43049,1000000,43451,42538
2024-02-03T14:00:00+01:00,43049,43072,43020,43025,1000000,43451,42538
2024-02-03T14:15:00+01:00,43025,43060,43025,43048,1000000,43451,42538
2024-02-03T14:30:00+01:00,43047,43071,43035,43066,1000000,43451,42538
2024-02-03T14:45:00+01:00,43054,43062,43047,43051,1000000,43451,42538
2024-02-03T15:00:00+01:00,43051,43051,43012,43048,1000000,43451,42538
2024-02-03T15:15:00+01:00,43037,43057,43031,43038,1000000,43451,42538
2024-02-03T15:30:00+01:00,43037,43067,43037,43047,1000000,43451,42538
2024-02-03T15:45:00+01:00,43047,43047,43020,43026,1000000,43451,42538
2024-02-03T16:00:00+01:00,43021,43021,42876,42949,1000000,43451,42538
2024-02-03T16:15:00+01:00,42950,43087,42929,43087,1000000,43451,42538
2024-02-03T16:30:00+01:00,43086,43165,43038,43128,1000000,43451,42538
2024-02-03T16:45:00+01:00,43124,43155,43073,43106,1000000,43451,42538
2024-02-03T17:00:00+01:00,43103,43144,43082,43144,1000000,43451,42538
2024-02-03T17:15:00+01:00,43142,43173,43119,43123,1000000,43451,42538
2024-02-03T17:30:00+01:00,43123,43144,43073,43077,1000000,43451,42538
2024-02-03T17:45:00+01:00,43073,43112,43061,43086,1000000,43451,42538
2024-02-03T18:00:00+01:00,43078,43131,43078,43119,1000000,43451,42538
2024-02-03T18:15:00+01:00,43118,43122,43084,43092,1000000,43451,42538
2024-02-03T18:30:00+01:00,43091,43180,43086,43180,1000000,43451,42538
2024-02-03T18:45:00+01:00,43178,43248,43175,43212,1000000,43451,42538
2024-02-03T19:00:00+01:00,43211,43227,43175,43208,1000000,43451,42538
2024-02-03T19:15:00+01:00,43208,43212,43144,43196,1000000,43451,42538
2024-02-03T19:30:00+01:00,43192,43192,43020,43029,1000000,43451,42538
2024-02-03T19:45:00+01:00,43021,43076,43020,43058,1000000,43451,42538
2024-02-03T20:00:00+01:00,43051,43065,43018,43047,1000000,43451,42538
2024-02-03T20:15:00+01:00,43034,43073,43023,43036,1000000,43451,42538
2024-02-03T20:30:00+01:00,43028,43043,43005,43005,1000000,43451,42538
2024-02-03T20:45:00+01:00,43013,43046,43006,43046,1000000,43451,42538
2024-02-03T21:00:00+01:00,43041,43041,42989,43011,1000000,43451,42538
2024-02-03T21:15:00+01:00,43011,43029,42997,43026,1000000,43451,42538
2024-02-03T21:30:00+01:00,43012,43077,43012,43073,1000000,43451,42538
2024-02-03T21:45:00+01:00,43077,43077,43041,43049,1000000,43451,42538
2024-02-03T22:00:00+01:00,43049,43077,43049,43068,1000000,43451,42538
2024-02-03T22:15:00+01:00,43068,43072,43015,43035,1000000,43451,42538
2024-02-03T22:30:00+01:00,43029,43031,43010,43029,1000000,43451,42538
2024-02-03T22:45:00+01:00,43028,43032,43005,43031,1000000,43451,42538
2024-02-03T23:00:00+01:00,43008,43032,42988,43011,1000000,43451,42538
2024-02-03T23:15:00+01:00,43017,43054,43017,43053,1000000,43451,42538
2024-02-03T23:30:00+01:00,43052,43072,43041,43042,1000000,43451,42538
2024-02-03T23:45:00+01:00,43040,43042,43000,43023,1000000,43451,42538
2024-02-04T00:00:00+01:00,43022,43065,43018,43059,1000000,43451,42538
2024-02-04T00:15:00+01:00,43059,43059,42982,43001,1000000,43451,42538
2024-02-04T00:30:00+01:00,42996,42996,42943,42952,1000000,43451,42538
2024-02-04T00:45:00+01:00,42951,43000,42951,42994,1000000,43352,42876
2024-02-04T01:00:00+01:00,42991,42994,42927,42951,1000000,43352,42876
2024-02-04T01:15:00+01:00,42951,43000,42897,42905,1000000,43352,42876
2024-02-04T01:30:00+01:00,42917,42974,42886,42974,1000000,43352,42876
2024-02-04T01:45:00+01:00,42974,43000,42951,42999,1000000,43352,42876
2024-02-04T02:00:00+01:00,42999,43000,42930,42946,1000000,43352,42876
2024-02-04T02:15:00+01:00,42946,42995,42945,42995,1000000,43352,42876
2024-02-04T02:30:00+01:00,42995,43015,42982,43000,1000000,43352,42876
2024-02-04T02:45:00+01:00,42996,43025,42990,43012,1000000,43352,42876
2024-02-04T03:00:00+01:00,43024,43036,43005,43033,1000000,43352,42876
2024-02-04T03:15:00+01:00,43029,43046,43027,43029,1000000,43352,42876
2024-02-04T03:30:00+01:00,43029,43029,43003,43009,1000000,43352,42876
2024-02-04T03:45:00+01:00,43007,43018,43000,43003,1000000,43352,42876
2024-02-04T04:00:00+01:00,43013,43026,43001,43026,1000000,43352,42876
2024-02-04T04:15:00+01:00,43028,43029,43012,43025,1000000,43352,42876
2024-02-04T04:30:00+01:00,43026,43031,43020,43030,1000000,43352,42876
2024-02-04T04:45:00+01:00,43029,43029,43002,43018,1000000,43352,42876
2024-02-04T05:00:00+01:00,43016,43019,42968,42969,1000000,43352,42876
2024-02-04T05:15:00+01:00,42969,42973,42913,42913,1000000,43352,42876
2024-02-04T05:30:00+01:00,42914,42941,42908,42928,1000000,43352,42876
2024-02-04T05:45:00+01:00,42917,42933,42891,42907,1000000,43352,42876
2024-02-04T06:00:00+01:00,42909,42938,42887,42932,1000000,43352,42876
2024-02-04T06:15:00+01:00,42934,42937,42852,42904,1000000,43352,42876
2024-02-04T06:30:00+01:00,42907,42909,42870,42894,1000000,43352,42876
2024-02-04T06:45:00+01:00,42890,42906,42874,42876,1000000,43352,42876
2024-02-04T07:00:00+01:00,42868,42920,42855,42903,1000000,43352,42876
2024-02-04T07:15:00+01:00,42907,42919,42819,42820,1000000,43352,42876
2024-02-04T07:30:00+01:00,42820,42851,42783,42804,1000000,43352,42876
2024-02-04T07:45:00+01:00,42791,42800,42739,42739,1000000,43352,42876
2024-02-04T08:00:00+01:00,42738,42819,42717,42796,1000000,43352,42876
2024-02-04T08:15:00+01:00,42805,42819,42771,42819,1000000,43352,42876
2024-02-04T08:30:00+01:00,42819,42830,42797,42801,1000000,43352,42876
2024-02-04T08:45:00+01:00,42804,42840,42799,42830,1000000,43352,42876
2024-02-04T09:00:00+01:00,42830,42830,42783,42800,1000000,43352,42876
2024-02-04T09:15:00+01:00,42801,42816,42799,42814,1000000,43352,42876
2024-02-04T09:30:00+01:00,42810,42829,42762,42769,1000000,43352,42876
2024-02-04T09:45:00+01:00,42790,42791,42765,42785,1000000,43352,42876
2024-02-04T10:00:00+01:00,42784,42784,42716,42716,1000000,43352,42876
2024-02-04T10:15:00+01:00,42732,42896,42731,42896,1000000,43352,42876
2024-02-04T10:30:00+01:00,42885,42958,42885,42903,1000000,43352,42876
2024-02-04T10:45:00+01:00,42925,42954,42921,42951,1000000,43352,42876
2024-02-04T11:00:00+01:00,42923,42931,42888,42893,1000000,43352,42876
2024-02-04T11:15:00+01:00,42893,42924,42866,42924,1000000,43352,42876
2024-02-04T11:30:00+01:00,42926,42926,42885,42906,1000000,43352,42876
2024-02-04T11:45:00+01:00,42906,42925,42866,42925,1000000,43352,42876
2024-02-04T12:00:00+01:00,42924,42963,42922,42963,1000000,43352,42876
2024-02-04T12:15:00+01:00,42969,43015,42969,43015,1000000,43352,42876
2024-02-04T12:30:00+01:00,43005,43091,43005,43058,1000000,43352,42876
2024-02-04T12:45:00+01:00,43054,43056,42989,43043,1000000,43352,42876
2024-02-04T13:00:00+01:00,43047,43076,43030,43059,1000000,43352,42876
2024-02-04T13:15:00+01:00,43055,43076,43026,43063,1000000,43352,42876
2024-02-04T13:30:00+01:00,43069,43097,43025,43026,1000000,43352,42876
2024-02-04T13:45:00+01:00,43037,43037,42989,42989,1000000,43352,42876
2024-02-04T14:00:00+01:00,42985,42987,42958,42966,1000000,43352,42876
2024-02-04T14:15:00+01:00,42959,43010,42958,43005,1000000,43352,42876
2024-02-04T14:30:00+01:00,43005,43024,42959,42968,1000000,43352,42876
2024-02-04T14:45:00+01:00,42968,42994,42964,42981,1000000,43352,42876
2024-02-04T15:00:00+01:00,42982,43001,42958,42991,1000000,43352,42876
2024-02-04T15:15:00+01:00,42995,42996,42931,42973,1000000,43352,42876
2024-02-04T15:30:00+01:00,42976,42997,42928,42940,1000000,43352,42876
2024-02-04T15:45:00+01:00,42933,42933,42845,42866,1000000,43352,42876
2024-02-04T16:00:00+01:00,42865,42922,42840,42915,1000000,43352,42876
2024-02-04T16:15:00+01:00,42915,42927,42835,42870,1000000,43352,42876
2024-02-04T16:30:00+01:00,42869,42922,42865,42903,1000000,43352,42876
2024-02-04T16:45:00+01:00,42900,42938,42875,42920,1000000,43352,42876
2024-02-04T17:00:00+01:00,42922,42926,42873,42886,1000000,43352,42876
2024-02-04T17:15:00+01:00,42883,42888,42863,42875,1000000,43352,42876
2024-02-04T17:30:00+01:00,42874,42910,42868,42875,1000000,43352,42876
2024-02-04T17:45:00+01:00,42876,42897,42864,42895,1000000,43352,42876
