day_of_week,day_of_month,next_2_days
4,26,0.7152090623361348
5,27,1.8562744014912054
1,30,1.7048982691690904
2,31,2.9562684496807625
3,1,2.842943947076766
4,2,1.1163189813015384
5,3,0.45980900482641485
1,6,0.3847888621261223
2,7,-0.7087047261033385
3,8,0.740636098776584
4,9,1.4767549332146368
5,10,1.822323512797249
1,13,2.07024928128335
2,14,0.2789340596059994
3,15,0.24740026402374002
4,16,0.8681801856756226
5,17,0.5354411759456459
1,20,0.20319908635574616
2,21,0.46604268699243284
3,22,-0.13584501773368463
5,24,-0.09759542354250503
1,27,0.003294245553922025
2,28,0.28342435451252973
3,29,0.9680041649909845
4,30,0.04334648087506229
5,1,-0.5974302116027521
1,4,-0.44728504145087855
2,5,0.4030860894512639
3,6,1.209632063718036
4,7,0.8036064914631519
5,8,0.8541901959224795
1,11,1.8312818212192412
2,12,1.6333873029004982
3,13,0.2570611154217997
4,14,0.44517495896287446
5,15,1.0421317300611772
1,18,-0.8904002990317827
2,19,-0.45340685928658714
3,20,1.1978627387585463
4,21,0.589877284457787
5,22,0.56682004649662
2,26,0.18011618736583065
3,27,-0.24573466946113606
4,28,-0.8471054533746972
5,29,-1.3631516944270077
2,2,-1.1417213235933021
3,3,-0.16089542669045798
4,4,1.5966084372299183
5,5,1.2615868609684793
1,8,0.4179697470102186
2,9,0.49911141332912856
3,10,0.00794160693618725
4,11,-0.29831667880839213
5,12,-0.9327278866265385
2,16,0.3138905534393084
3,17,2.1227187334057156
4,18,1.453484779701298
5,19,0.5122109909764303
1,22,0.37356746205157987
2,23,0.607656497971785
3,24,0.46051516479637017
4,25,0.6900064250681417
5,26,0.6951585985294368
1,29,-1.669672063169111
2,30,-0.3813276551581302
3,31,2.3311622427130647
4,1,0.7464064299353983
5,2,-0.08832884484285097
1,5,1.0570909944062334
2,6,0.8816743662173946
3,7,0.631620127033711
4,8,0.47879387087571756
5,9,-1.4610233020612857
1,12,-0.42254885107316403
2,13,1.5456780163271389
3,14,0.09898186455390787
4,15,-1.0779945455182647
5,16,-0.47487140057945215
2,20,2.2413787688997004
3,21,2.1478181419357925
4,22,-0.3440121394819488
5,23,-0.20868631728188305
1,26,0.004536524658034171
2,27,0.35622689868850466
3,28,1.3278797341929032
4,29,0.6805011439413458
5,1,-1.1374199913694283
1,4,-0.5104401463773101
2,5,1.5498205714313185
3,6,0.370833822753504
4,7,-0.764343053810482
5,8,1.006697882090096
1,11,0.9255700092190643
2,12,-0.47900957764413143
3,13,-0.9335395996901278
4,14,-0.02058174379416815
5,15,1.2002900818717914
1,18,1.4603624573914766
2,19,1.216952798845288
3,20,0.18298093218873757
4,21,-0.4452868667482778
5,22,-0.5846206402645023
1,25,0.5806667313567427
2,26,0.9756748002145458
3,27,-0.08993471708940108
4,28,-0.9238067155850868
1,1,-0.6155835407735053
2,2,-1.1256672255936992
3,3,-0.137204337021223
4,4,1.0720405073819763
5,5,0.10703206683724746
1,8,-0.8025157457016967
2,9,-0.20825882464084
3,10,-0.7214217516128077
4,11,-2.6397124254825584
5,12,-1.4053139960338306
1,15,-0.7825221887933052
2,16,-0.7975998348233515
3,17,-1.094736797075024
4,18,-0.010377311241580494
5,19,2.080029002583043
1,22,1.218013490735315
2,23,-0.4364395117871024
3,24,0.5585990850990372
4,25,1.3420040537126599
5,26,-1.2602063550207865
1,29,-1.9111911185392212
2,30,0.5661638075017844
3,1,2.1799800207498534
4,2,2.3012526078722404
5,3,1.1683426153102245
1,6,0.13375863653654102
2,7,0.5085082371632872
3,8,0.6748743546427508
4,9,0.140769678256254
5,10,0.4595341700472763
1,13,1.6610420492210758
2,14,0.9609871420739361
3,15,-0.0919318953359879
4,16,0.20822308344013038
5,17,0.3420556873766987
1,20,-0.021101917478072496
2,21,-1.0066939199768623
3,22,-0.043142011836497206
4,23,0.7251586313472005
5,24,-0.7120077591568609
2,28,-1.3298063730068823
3,29,0.2004873773421637
4,30,0.9152918558330457
5,31,0.2620568931029187
1,3,1.3368263640457754
2,4,1.1645465800176142
