day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
1,6,2.6229483182313014,5.245896636462603,4.426230758917137,3.9344287309490267,3.9344287309490267,2.1311462902631915,-0.3278701031794313,1.9672143654745133,1.639344262295082,0.9836040559362192,0.9836040559362192,2.1311462902631915,0.3278701031794313,-0.9836040559362192,-2.6229483182313014
2,7,2.5559081679251716,1.7571921974935856,1.2779601777283343,1.2779601777283343,-0.4792320197652511,-2.875398212357255,-0.6389739950984186,-0.9584640395305022,-1.5974441283946692,-1.5974441283946692,-0.4792320197652511,-2.236418123493088,-3.514372207455674,-5.111816335850343,-3.1948882567893384
3,8,-0.7788102945017732,-1.246098847961371,-1.246098847961371,-2.9594981331750096,-5.295946842369333,-3.115259003696097,-3.4267866866346073,-4.049842052511628,-4.049842052511628,-2.9594981331750096,-4.672891476492314,-5.918996266350019,-7.476628739146235,-5.607474525307843,-5.763235395828931
4,9,-0.4709564104669303,-0.4709564104669303,-2.197804566893231,-4.5525926077635495,-2.354788040870319,-2.668760977360161,-3.2967068503398465,-3.2967068503398465,-2.197804566893231,-3.9246467347838645,-5.180532492207568,-6.750391186121113,-4.866565544253392,-5.023549018230479,-6.122451301677096
5,10,0.0,-1.735019341236696,-4.100949883663771,-1.8927456373161617,-2.208204246347608,-2.8391214644105,-2.8391214644105,-1.735019341236696,-3.4700326656008778,-4.731861084854148,-6.309148113138864,-4.416408492695216,-4.574134788774682,-5.678236911948486,0.788643514142358
1,13,-1.735019341236696,-4.100949883663771,-1.8927456373161617,-2.208204246347608,-2.8391214644105,-2.8391214644105,-1.735019341236696,-3.4700326656008778,-4.731861084854148,-6.309148113138864,-4.416408492695216,-4.574134788774682,-5.678236911948486,0.788643514142358,1.577287028284716
2,14,-2.4077046843809455,-0.1605111963815361,-0.48153971225425896,-1.1235967439997048,-1.1235967439997048,0.0,-1.7656476526354996,-3.0497555930167404,-4.654892049270704,-2.728733200253668,-2.8892443966352044,-4.012841140634909,2.568222003872132,3.3707902319991137,5.939006112761596
3,15,2.3026341175108724,1.9736854901274317,1.31578823536055,1.31578823536055,2.4671052941159863,0.6578972547668815,-0.6578909805936686,-2.302627843337659,-0.3289486273834408,-0.4934198039885546,-1.644736862743991,5.0986880390103,5.921056470382294,8.552632941103395,6.414470000197636
4,16,-0.32154463100685254,-0.9646338930205577,-0.9646338930205577,0.16076924902656226,-1.6077170220805348,-2.8938894131542168,-4.501606435234751,-2.572350915101092,-2.7331201641276546,-3.8585233061747743,2.7331201641276546,3.536978675167922,6.109323457315286,4.019286422247609,3.858517173221046
5,17,-0.6451637514175907,-0.6451637514175907,0.4838697371944305,-1.2903213500976562,-2.5806427001953125,-4.1935459260017645,-2.258066977224042,-2.4193548387096775,-3.5483883273216983,3.064518590127268,3.8709702030304936,6.451612903225806,4.354833787487399,4.1935459260017645,6.451612903225806
1,20,0.0,1.1363649030503336,-0.649346949821248,-1.9480470421542637,-3.5714237057431633,-1.6233766635888995,-1.7857118528715816,-2.922076755921915,3.7337712804068848,4.545459612201334,7.1428597968673655,5.032465180049381,4.870129990766698,7.1428597968673655,5.1948127547131016
