day_of_month,day_of_week,roc1,roc2,roc3,roc4,roc5,oneDaysLater,twoDaysLater,threeDaysLater,fourDaysLater,fiveDaysLater,sixDaysLater,sevenDaysLater,eightDaysLater,nineDaysLater,tenDaysLater,elevenDaysLater,twelveDaysLater,thirteenDaysLater,fourteenDaysLater,fifteenDaysLater
23.0,7.0,-0.03393039625855631,3.8308957322997683,4.15529818659339,4.2109629405911075,2.9956362868897166,-0.5037503770162532,0.07868690313113681,3.231467032825657,4.754738096899053,4.958370996254593,8.73695862811507,6.8170762191012715,6.681317856539406,11.067608779232751,12.747176128524481,4.813639484309575,7.025725164695841,7.053582799271483,8.28692639072901,7.009896752119349
24.0,1.0,-0.5037503770162532,-0.5375098487757339,3.3078472035889552,3.6306154792960226,3.685999821885612,0.5853861651613915,3.754128848067727,5.285112246784213,5.489776141279892,9.287494795177393,7.3578920048323155,7.2214462965003055,11.629945048276479,13.318016061662444,5.3443118524313755,7.567597341852748,7.595596019874487,8.835184040660167,7.5516887898857465,8.579134776430696
25.0,2.0,0.5853861651613915,0.07868690313113681,0.044729808094544535,3.9125970486448343,4.237254765183422,3.150301255197504,4.67237464685562,4.875847439771701,8.65146415576426,6.733091254976601,6.597439632475527,10.98028183237265,12.658528621239324,4.731229723029367,6.941576150263572,6.969411881764135,8.201785756384721,6.925760182782092,7.947226645969778,9.988776603357625
26.0,3.0,3.150301255197504,3.754128848067727,3.231467032825657,3.196440186997898,7.186156897776617,1.4755879266823013,1.6728464808892167,5.333152529488678,3.4733684305149497,3.34185972831013,7.590846058513678,9.217837708993333,1.5326455168759903,3.675486013061968,3.7024716167507985,4.897207705375156,3.660153079188755,4.650423054901711,6.629622274433782,5.488686427375118
27.0,4.0,1.4755879266823013,4.67237464685562,5.285112246784213,4.754738096899053,4.719194399163162,0.19439015652655064,3.8014705621548384,1.9687301592931652,1.8391337658237952,6.026334270908337,7.629667332309449,0.05622789811763788,2.1679086875250504,2.194501885199675,3.371864946636258,2.1527987145882177,3.128668868135337,5.079087939333104,3.9547427935005834,4.0821578176375235
28.0,5.0,0.19439015652655064,1.6728464808892167,4.875847439771701,5.489776141279892,4.958370996254593,3.6000822002042265,1.770897552242885,1.6415525926429402,5.820629383811764,7.420851770410794,-0.13789420564671506,1.9696896482082604,1.9962312516184713,3.17131007549002,1.9546089905853863,2.9285858290317175,4.875220833397497,3.753057063473815,3.880224885881726,2.233450704038377
29.0,6.0,3.6000822002042265,3.8014705621548384,5.333152529488678,8.65146415576426,9.287494795177393,-1.7656208461557914,-1.890471094199021,2.1433836117199143,3.687998589444204,-3.60808247104226,-1.5737367358891456,-1.5481174479054545,-0.413872378870913,-1.5882933436664748,-0.6481620061602471,1.2308278199327116,0.147659017271791,0.2704077832063218,-1.3191413241592533,-1.7422482646541644
30.0,7.0,-1.7656208461557914,1.770897552242885,1.9687301592931652,3.4733684305149497,6.733091254976601,-0.1270942506265577,3.97926315771166,5.5516403550116795,-1.8755772070397085,0.1953329495431912,0.22141270716406333,1.3760441903622296,0.18051470780062162,1.1375435459774212,3.0503054957936717,1.9476683009633597,2.0726232983806026,0.4545043454667833,0.023792669840182135,0.44979972763654263
31.0,1.0,-0.1270942506265577,-1.890471094199021,1.6415525926429402,1.8391337658237952,3.34185972831013,4.111582993933246,5.685961135334107,-1.7507080056335698,0.3228375080813864,0.34895045375487876,1.5050512746278208,0.30800040923922867,1.2662471238971764,3.1814431777861465,2.0774028111252116,2.2025168212560597,0.5823387151194304,0.15107893310462375,0.5776281103813979,1.518895750660116
1.0,2.0,4.111582993933246,3.97926315771166,2.1433836117199143,5.820629383811764,6.026334270908337,1.5122026734456648,-5.630776932772621,-3.639120044954687,-3.6140383538281444,-2.503594359387766,-3.6533711958982114,-2.7329676374259644,-0.8934066598538806,-1.953846175719535,-1.8336731781212385,-3.389867080418392,-3.804095516499262,-3.394391653575931,-2.490296630514407,1.9738429491385288
