AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SEADRILL;SUBSEA 7;TGS;VÅR ENERGI;AKASTOR;BLUENORD;BORR DRILLING;BW ENERGY LIMITED;BW OFFSHORE LTD;NORTHERN OCEAN LTD;ODFJELL DRILLING;OKEA;PANORO ENERGY;PGS;SEACREST PETROLEO;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;2020 BULKERS;AMSC;AVANCE GAS HOLDING;AWILCO LNG;BELSHIPS;BW LPG;EQVA;FLEX LNG;FRONTLINE;GC RIEBER SHIPPING;GOLDEN OCEAN GROUP;GRAM CAR CARRIERS;HAFNIA LIMITED;JINHUI SHIPP TRANS;KLAVENESS COMBINAT;MPC CONTAINER SHIP;ODFJELL SER. A;ODFJELL SER. B;OKEANIS ECO TANKER;PHILLY SHIPYARD;SAGA PURE;STOLT-NIELSEN;WALLENIUS WILHELMS;MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE
percent/trade;3,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hitrate;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of trades;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Return;464,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2011;1068694,715;0,814554013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.2011;1056542,516;0,199935253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.2011;1052430,42;0,19680921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.2011;1048927,516;0,194126946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.05.2011;1052125,825;0,196576683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.05.2011;1049384,42;0,194477825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2011;1052735,016;0,197041603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.2011;1027910,123;0,177649483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.2011;1024711,825;0,175082789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.2011;1015421,516;0,167535445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05.2011;1015878,42;0,167909857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.2011;1020295,123;0,171511848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.2011;1014660,016;0,166910682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.2011;1008568,016;0,161878617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.2011;1003237,516;0,157425428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.2011;1004151,325;0,158192197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.2011;1008263,42;0,161625421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2011;1005369,718;0,159212372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.05.2011;1005065,123;0,158957563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.05.2011;1007197,325;0,160738021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.2011;1009634,123;0,162763618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.2011;1007349,623;0,160864906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.2011;1004760,516;0,841005586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.06.2011;983406,0816;0,837553059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.06.2011;986928,7865;0,838132891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.06.2011;978837,1553;0,836794804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.06.2011;947631,9872;0,831420518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.06.2011;953176,9237;0,832401199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.06.2011;934325,4144;0,829019625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.2011;949916,0299;0,831825862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.06.2011;933544,1487;0,828876535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.06.2011;925621,0607;0,82741176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.2011;931525,4171;0,828505689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.06.2011;914088,2059;0,825234251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.2011;940337,1411;0,83011273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.06.2011;930559,2797;0,828327638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.06.2011;901697,6946;0,82283274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.2011;896694,9604;0,82184431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2011;897498,1962;0,822003754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
